0.54102,0.04102|0.53125,0.01660|0.56445,0.03760
0.56445,0.03760|0.53125,0.01660|0.55469,0.01123
0.71143,0.09961|0.69238,0.10400|0.69629,0.07910
0.69629,0.07910|0.69238,0.10400|0.68164,0.08594
0.93164,0.07178|0.91748,0.10303|0.90234,0.05908
0.90234,0.05908|0.91748,0.10303|0.89062,0.08545
0.90234,0.05908|0.89062,0.08545|0.87451,0.04736
0.87451,0.04736|0.89062,0.08545|0.86719,0.07324
0.95605,0.09766|0.94434,0.12256|0.93164,0.07178
0.93164,0.07178|0.94434,0.12256|0.91748,0.10303
0.69629,0.07910|0.68164,0.08594|0.68799,0.05957
0.68799,0.05957|0.68164,0.08594|0.67334,0.06689
0.67334,0.06689|0.68164,0.08594|0.65381,0.06982
0.65381,0.06982|0.68164,0.08594|0.66113,0.08936
0.65381,0.06982|0.66113,0.08936|0.63135,0.06787
0.63135,0.06787|0.66113,0.08936|0.63721,0.09033
0.63135,0.06787|0.63721,0.09033|0.60498,0.05908
0.60498,0.05908|0.63721,0.09033|0.61230,0.09082
0.60498,0.05908|0.57568,0.06592|0.58691,0.03320
0.58691,0.03320|0.57568,0.06592|0.56445,0.03760
0.58691,0.03320|0.56445,0.03760|0.57959,0.00439
0.57959,0.00439|0.56445,0.03760|0.55469,0.01123
0.86133,0.09521|0.86719,0.07324|0.87793,0.11035
0.87793,0.11035|0.86719,0.07324|0.89062,0.08545
0.85352,0.11670|0.86133,0.09521|0.86377,0.13135
0.86377,0.13135|0.86133,0.09521|0.87793,0.11035
0.82617,0.14746|0.84033,0.13672|0.82812,0.15967
0.82812,0.15967|0.84033,0.13672|0.84668,0.14893
0.82812,0.15967|0.80957,0.16455|0.82617,0.14746
0.82617,0.14746|0.80957,0.16455|0.80957,0.15332
0.80957,0.16455|0.79102,0.16553|0.80957,0.15332
0.80957,0.15332|0.79102,0.16553|0.78906,0.15527
0.78906,0.15527|0.79102,0.16553|0.77637,0.15381
0.77637,0.15381|0.79102,0.16553|0.77344,0.16406
0.77637,0.15381|0.77344,0.16406|0.76074,0.14844
0.76074,0.14844|0.77344,0.16406|0.75635,0.15967
0.84033,0.13672|0.85352,0.11670|0.84668,0.14893
0.84668,0.14893|0.85352,0.11670|0.86377,0.13135
0.69238,0.10400|0.71143,0.09961|0.70410,0.12158
0.70410,0.12158|0.71143,0.09961|0.72656,0.11719
0.73877,0.13037|0.71680,0.14209|0.72656,0.11719
0.72656,0.11719|0.71680,0.14209|0.70410,0.12158
0.76074,0.14844|0.75635,0.15967|0.74902,0.14014
0.74902,0.14014|0.75635,0.15967|0.73877,0.15283
0.74902,0.14014|0.73877,0.15283|0.73877,0.13037
0.73877,0.13037|0.73877,0.15283|0.71680,0.14209
0.99365,0.11865|0.97461,0.11963|0.99365,0.10986
0.99365,0.10986|0.97461,0.11963|0.95605,0.09766
0.94434,0.12256|0.95605,0.09766|0.96973,0.13623
0.96973,0.13623|0.95605,0.09766|0.97461,0.11963
0.99365,0.11865|0.99365,0.14062|0.97461,0.11963
0.97461,0.11963|0.99365,0.14062|0.96973,0.13623
0.51953,0.04150|0.51367,0.01807|0.54102,0.04102
0.54102,0.04102|0.51367,0.01807|0.53125,0.01660
0.50000,0.03809|0.50000,0.02002|0.51953,0.04150
0.51953,0.04150|0.50000,0.02002|0.51367,0.01807
0.57568,0.06592|0.54980,0.07080|0.56445,0.03760
0.56445,0.03760|0.54980,0.07080|0.54102,0.04102
0.54980,0.07080|0.57568,0.06592|0.56006,0.10059
0.56006,0.10059|0.57568,0.06592|0.58643,0.09473
0.52441,0.07178|0.54980,0.07080|0.53223,0.11230
0.53223,0.11230|0.54980,0.07080|0.56006,0.10059
0.57568,0.06592|0.60498,0.05908|0.58643,0.09473
0.58643,0.09473|0.60498,0.05908|0.61230,0.09082
0.87793,0.11035|0.89062,0.08545|0.90186,0.13037
0.90186,0.13037|0.89062,0.08545|0.91748,0.10303
0.96729,0.16113|0.96973,0.13623|0.99365,0.16260
0.99365,0.16260|0.96973,0.13623|0.99365,0.14062
0.52930,0.27734|0.50000,0.27148|0.51904,0.25781
0.51904,0.25781|0.50000,0.27148|0.50000,0.25391
0.52930,0.27734|0.51904,0.25781|0.55225,0.27783
0.55225,0.27783|0.51904,0.25781|0.52783,0.24854
0.80957,0.16455|0.82812,0.15967|0.81299,0.18408
0.81299,0.18408|0.82812,0.15967|0.83545,0.18164
0.82812,0.15967|0.84668,0.14893|0.83545,0.18164
0.83545,0.18164|0.84668,0.14893|0.86035,0.17236
0.86377,0.13135|0.87793,0.11035|0.88281,0.15430
0.88281,0.15430|0.87793,0.11035|0.90186,0.13037
0.90918,0.18018|0.88623,0.20996|0.88281,0.15430
0.88281,0.15430|0.88623,0.20996|0.86035,0.17236
0.92969,0.22852|0.93799,0.20068|0.96289,0.23730
0.96289,0.23730|0.93799,0.20068|0.96533,0.21094
0.93359,0.15674|0.90918,0.18018|0.90186,0.13037
0.90186,0.13037|0.90918,0.18018|0.88281,0.15430
0.96729,0.16113|0.99365,0.16260|0.96729,0.18652
0.96729,0.18652|0.99365,0.16260|0.99365,0.19043
0.96289,0.23730|0.96533,0.21094|0.99365,0.24219
0.99365,0.24219|0.96533,0.21094|0.99365,0.21533
0.84766,0.21240|0.88623,0.20996|0.85889,0.24609
0.85889,0.24609|0.88623,0.20996|0.89307,0.25195
0.55322,0.19971|0.57471,0.19922|0.57422,0.23584
0.57422,0.23584|0.57471,0.19922|0.59766,0.23633
0.59521,0.11426|0.57080,0.11621|0.58643,0.09473
0.58643,0.09473|0.57080,0.11621|0.56006,0.10059
0.96289,0.23730|0.99365,0.24219|0.96191,0.26611
0.96191,0.26611|0.99365,0.24219|0.99365,0.27051
0.79590,0.20850|0.81982,0.21094|0.80322,0.23877
0.80322,0.23877|0.81982,0.21094|0.82910,0.24219
0.52881,0.19482|0.55322,0.19971|0.54248,0.23340
0.54248,0.23340|0.55322,0.19971|0.57422,0.23584
0.55566,0.14355|0.57617,0.16699|0.53662,0.15088
0.53662,0.15088|0.57617,0.16699|0.55420,0.16553
0.62158,0.23682|0.59766,0.23633|0.59814,0.20068
0.59814,0.20068|0.59766,0.23633|0.57471,0.19922
0.96191,0.26611|0.92871,0.25977|0.96289,0.23730
0.96289,0.23730|0.92871,0.25977|0.92969,0.22852
0.81348,0.27344|0.78662,0.27148|0.80322,0.23877
0.80322,0.23877|0.78662,0.27148|0.77734,0.23584
0.84033,0.27588|0.81348,0.27344|0.82910,0.24219
0.82910,0.24219|0.81348,0.27344|0.80322,0.23877
0.89941,0.28613|0.86865,0.28076|0.89307,0.25195
0.89307,0.25195|0.86865,0.28076|0.85889,0.24609
0.99365,0.29980|0.96289,0.29639|0.99365,0.27051
0.99365,0.27051|0.96289,0.29639|0.96191,0.26611
